unit,sector,na_item,geo\time	2014 	2015 	2016 	2017 
MIO_EUR,S13,GD,AT	279862.1 	291392.8 	295200.4 	289489.9 
MIO_EUR,S13,GD,BE	428122.5 	435312.4 	448160.9 	452170.4 
MIO_EUR,S13,GD,BG	11531.8 	11771.8 	13969.3 	12815.1 
MIO_EUR,S13,GD,CY	18922.1 	19072.3 	19417.5 	18724.8 
MIO_EUR,S13,GD,CZ	65588.5 	67951.6 	64945.2 	68499.7 
MIO_EUR,S13,GD,DE	2192003.8 	2161775.2 	2145473.2 	2092643.1 
MIO_EUR,S13,GD,DK	117801.5 	108453.6 	105233.3 	104895.2 
MIO_EUR,S13,GD,EA18	9320019.0 	9446060.8 	9586098.9 	9668869.7 
MIO_EUR,S13,GD,EA19	9334844.0 	9462000.3 	9601612.5 	9685501.3 
MIO_EUR,S13,GD,EE	2108.4 	2035.0 	1986.8 	2065.5 
MIO_EUR,S13,GD,EL	319629.0 	311724.0 	315009.0 	317407.0 
MIO_EUR,S13,GD,ES	1041624.0 	1073934.0 	1107220.0 	1144298.0 
MIO_EUR,S13,GD,EU27	12115379.5 	12475097.1 	12375333.7 	12466635.8 
MIO_EUR,S13,GD,EU28	12151727.5 	12512303.2 	12412599.1 	12504712.5 
MIO_EUR,S13,GD,FI	123696.0 	133175.0 	136040.0 	137286.0 
MIO_EUR,S13,GD,FR	2039852.0 	2101250.7 	2152523.3 	2218435.5 
MIO_EUR,S13,GD,HR	36349.7 	37209.1 	37268.4 	38079.7 
MIO_EUR,S13,GD,HU	79150.1 	83348.7 	86861.2 	90534.8 
MIO_EUR,S13,GD,IE	203355.4 	201630.9 	200692.5 	201293.7 
MIO_EUR,S13,GD,IT	2137319.6 	2173387.3 	2219545.8 	2263055.7 
MIO_EUR,S13,GD,LT	14825.0 	15939.5 	15513.7 	16631.7 
MIO_EUR,S13,GD,LU	11329.9 	11446.3 	11023.8 	12709.4 
MIO_EUR,S13,GD,LV	9668.5 	8953.3 	10091.6 	10782.3 
MIO_EUR,S13,GD,MT	5390.0 	5585.5 	5728.4 	5642.6 
MIO_EUR,S13,GD,NL	450615.0 	441401.0 	434205.0 	416067.0 
MIO_EUR,S13,GD,PL	202246.6 	215738.9 	228235.1 	240220.0 
MIO_EUR,S13,GD,PT	226040.5 	231512.6 	240882.5 	242620.3 
MIO_EUR,S13,GD,RO	58312.1 	59371.1 	62779.9 	64565.2 
MIO_EUR,S13,GD,SE	190803.7 	202040.6 	194287.5 	189960.8 
MIO_EUR,S13,GD,SI	30219.9 	32087.4 	31753.4 	31860.2 
MIO_EUR,S13,GD,SK	40725.0 	41295.0 	42053.2 	43226.5 
MIO_EUR,S13,GD,UK	2060320.9 	2269879.4 	2022228.9 	2013315.6 
PC_GDP,S13,GD,AT	84.0 	84.6 	83.6 	78.4 
PC_GDP,S13,GD,BE	107.0 	106.1 	105.9 	103.1 
PC_GDP,S13,GD,BG	27.0 	26.0 	29.0 	25.4 
PC_GDP,S13,GD,CY	107.5 	107.5 	106.6 	97.5 
PC_GDP,S13,GD,CZ	42.2 	40.0 	36.8 	34.6 
PC_GDP,S13,GD,DE	74.7 	71.0 	68.2 	64.1 
PC_GDP,S13,GD,DK	44.3 	39.9 	37.9 	36.4 
PC_GDP,S13,GD,EA18	92.1 	90.1 	89.2 	86.9 
PC_GDP,S13,GD,EA19	91.9 	89.9 	89.0 	86.7 
PC_GDP,S13,GD,EE	10.7 	10.0 	9.4 	9.0 
PC_GDP,S13,GD,EL	178.9 	176.8 	180.8 	178.6 
PC_GDP,S13,GD,ES	100.4 	99.4 	99.0 	98.3 
PC_GDP,S13,GD,EU27	86.5 	84.5 	83.3 	81.6 
PC_GDP,S13,GD,EU28	86.5 	84.5 	83.3 	81.6 
PC_GDP,S13,GD,FI	60.2 	63.5 	63.0 	61.4 
PC_GDP,S13,GD,FR	94.9 	95.6 	96.6 	97.0 
PC_GDP,S13,GD,HR	84.0 	83.8 	80.6 	78.0 
PC_GDP,S13,GD,HU	76.6 	76.7 	76.0 	73.6 
PC_GDP,S13,GD,IE	104.5 	76.9 	72.8 	68.0 
PC_GDP,S13,GD,IT	131.8 	131.5 	132.0 	131.8 
PC_GDP,S13,GD,LT	40.5 	42.6 	40.1 	39.7 
PC_GDP,S13,GD,LU	22.7 	22.0 	20.8 	23.0 
PC_GDP,S13,GD,LV	40.9 	36.8 	40.5 	40.1 
PC_GDP,S13,GD,MT	63.8 	58.7 	56.2 	50.8 
PC_GDP,S13,GD,NL	68.0 	64.6 	61.8 	56.7 
PC_GDP,S13,GD,PL	50.3 	51.1 	54.2 	50.6 
PC_GDP,S13,GD,PT	130.6 	128.8 	129.9 	125.7 
PC_GDP,S13,GD,RO	39.1 	37.7 	37.4 	35.0 
PC_GDP,S13,GD,SE	45.5 	44.2 	42.1 	40.6 
PC_GDP,S13,GD,SI	80.3 	82.6 	78.6 	73.6 
PC_GDP,S13,GD,SK	53.5 	52.3 	51.8 	50.9 
PC_GDP,S13,GD,UK	87.4 	88.2 	88.2 	87.7 
