unit,icd10,age,sex,geo\time	2011 	2012 	2013 	2014 	2015 
RT,A-R_V-Y,TOTAL,F,AT	817.76 	844.92 	826.4 	795.69 	820.66 
RT,A-R_V-Y,TOTAL,F,BE	840.11 	860.46 	849.58 	799.67 	835.52 
RT,A-R_V-Y,TOTAL,F,BG	1394.04 	1410.57 	1307.15 	1351.15 	1361 
RT,A-R_V-Y,TOTAL,F,CH	724.09 	739.38 	731.42 	700.53 	726.05 
RT,A-R_V-Y,TOTAL,F,CY	909.11 	916.04 	794.57 	845.27 	899.62 
RT,A-R_V-Y,TOTAL,F,CZ	1089.62 	1088.39 	1072.97 	1007.85 	1051.18 
RT,A-R_V-Y,TOTAL,F,DE	842.9 i	844.11 i	888.18 	840.68 	876.07 
RT,A-R_V-Y,TOTAL,F,DK	945.31 	926.58 	910.39 	871.79 	876.93 
RT,A-R_V-Y,TOTAL,F,EE	1008.38 	989.55 	986.01 	961.79 	946.67 
RT,A-R_V-Y,TOTAL,F,EL	845.96 	872.3 	814.34 	805.97 	843.37 
RT,A-R_V-Y,TOTAL,F,ES	693.42 	702.85 	663.2 	656.46 	686.92 
RT,A-R_V-Y,TOTAL,F,EU28	837.99 i	848.99 i	836.39 i	817.94 	849.18 
RT,A-R_V-Y,TOTAL,F,FI	815.19 	824.03 	799.79 	803.25 	781.76 
RT,A-R_V-Y,TOTAL,F,FR	669.23 	689.77 	672.58 	645.09 	670.73 
RT,A-R_V-Y,TOTAL,F,HR	1198.91 	1106.81 i	1106.63 	1109.86 	1178.37 
RT,A-R_V-Y,TOTAL,F,HU	1199.82 i	1215.09 i	1208.06 	1180.34 	1230.8 
RT,A-R_V-Y,TOTAL,F,IE	864.16 	860.15 	865.88 	833.97 	846.65 
RT,A-R_V-Y,TOTAL,F,IS	813.59 	804.78 	825.89 	760.89 	823.95 
RT,A-R_V-Y,TOTAL,F,IT	746.99 	754.92 	717.7 	698.8 	746.61 
RT,A-R_V-Y,TOTAL,F,LI	787.62 	706.05 	757.54 	890.7 	775.7 
RT,A-R_V-Y,TOTAL,F,LT	1142.83 	1132.07 	1135.15 	1086.05 	1129.93 
RT,A-R_V-Y,TOTAL,F,LU	850.56 	829.34 	798.99 	731.28 	784.99 
