iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,NR,AL	54 	98 	107 	125 	124 	118 	82 	88 
ICCS0101,NR,AT	42 	40 	62 	88 	80 	61 	51 	58 
ICCS0101,NR,BA	56 	49 	46 	60 	49 	54 	67 	66 
ICCS0101,NR,BE	220 	208 	205 	205 	214 	189 	189 	203 
ICCS0101,NR,BG	129 	116 	109 	141 	128 	148 	150 	172 
ICCS0101,NR,CH	57 	41 	57 	45 	46 	53 	51 	54 
ICCS0101,NR,CY	12 	10 	11 	19 	8 	7 	19 	9 
ICCS0101,NR,CZ	84 	84 	91 	95 	83 	105 	105 	113 
ICCS0101,NR,DE	655 	645 	623 	619 	689 	699 	721 	656 
ICCS0101,NR,DK	46 	59 	41 	43 	49 	49 	47 	54 
ICCS0101,NR,EE	42 	41 	52 	63 	65 	70 	70 	84 
ICCS0101,NR,EL	86 	105 	141 	165 	184 	176 	143 	139 
ICCS0101,NR,ES	303 	323 	302 	364 	385 	401 	412 	407 
ICCS0101,NR,FI	88 	89 	90 	88 	110 	119 	120 	133 
ICCS0101,NR,FR	1017 	792 	777 	784 	856 	796 	819 	1021 
ICCS0101,NR,HR	37 	36 	46 	51 	49 	62 	49 	71 
ICCS0101,NR,HU	99 	129 	138 	113 	142 	133 	139 	147 
ICCS0101,NR,IE	61 	80 	83 	79 	66 	89 	88 	89 
ICCS0101,NR,IS	3 	1 	1 	1 	3 	2 	1 	0 
ICCS0101,NR,IT	469 	475 	504 	530 	552 	529 	590 	615 
ICCS0101,NR,LI	0 	1 	0 	0 	0 	1 	0 	1 
ICCS0101,NR,LT	168 	155 	172 	181 	189 	199 	240 	286 
ICCS0101,NR,LU	5 	4 	1 	3 	4 	8 	5 	7 
ICCS0101,NR,LV	81 	77 	69 	97 	69 	70 	108 	99 
ICCS0101,NR,ME	17 	19 	9 	15 	19 	13 	10 	22 
ICCS0101,NR,MK	: 	25 	20 	28 	27 	39 	35 	35 
ICCS0101,NR,MT	4 	6 	6 	10 	3 	4 	4 	6 
ICCS0101,NR,NL	: 	: 	125 	145 	143 	144 	154 	150 
ICCS0101,NR,NO	: 	29 	46 	27 	111 	29 	29 	34 
ICCS0101,NR,PL	286 	283 	298 	377 	449 	436 	493 	460 
ICCS0101,NR,PT	100 	92 	144 	122 	114 	124 	130 	124 
ICCS0101,NR,RO	291 	298 	336 	378 	335 	404 	397 	470 
ICCS0101,NR,RS	91 	113 	131 	104 	114 	114 	136 	128 
ICCS0101,NR,SE	112 	87 	87 	68 	81 	91 	93 	82 
ICCS0101,NR,SI	20 	17 	12 	14 	17 	11 	13 	11 
ICCS0101,NR,SK	48 	72 	78 	75 	96 	89 	84 	94 
ICCS0101,NR,TR	: 	: 	: 	1806 	1688 	1766 	2090 	: 
ICCS0101,NR,UKC-L	: 	518 	523 	544 	526 	632 	595 	638 
ICCS0101,NR,UKM	: 	59 	61 	63 	93 	100 	84 	95 
ICCS0101,NR,UKN	23 	17 	20 	21 	23 	23 	29 	24 
ICCS0101,NR,XK	30 	39 	41 	90 	62 	106 	73 	113 
ICCS0101,P_HTHAB,AL	: 	: 	: 	: 	4.38 	: 	2.57 	2.78 
ICCS0101,P_HTHAB,AT	0.49 	0.47 	0.73 	1.05 	0.96 	0.73 	0.61 	0.70 
ICCS0101,P_HTHAB,BA	: 	: 	: 	1.56 	1.27 	1.40 	1.74 	1.72 
ICCS0101,P_HTHAB,BE	1.96 	1.86 	1.84 	1.85 	1.95 	1.74 	1.76 	1.90 
ICCS0101,P_HTHAB,BG	1.79 	1.60 	1.50 	1.92 	1.74 	1.99 	2.01 	2.29 
ICCS0101,P_HTHAB,CH	0.69 	0.50 	0.71 	0.57 	0.58 	0.68 	0.66 	0.71 
ICCS0101,P_HTHAB,CY	1.42 	1.17 	1.27 	2.20 	0.95 	0.85 	2.38 	1.16 
ICCS0101,P_HTHAB,CZ	0.80 	0.80 	0.87 	0.90 	0.79 	1.00 	1.01 	1.09 
ICCS0101,P_HTHAB,DE	0.81 	0.80 	0.77 	0.77 	0.86 	0.85 	0.88 	0.80 
ICCS0101,P_HTHAB,DK	0.81 	1.05 	0.73 	0.77 	0.88 	0.89 	0.85 	0.99 
ICCS0101,P_HTHAB,EE	3.19 	3.12 	3.94 	4.75 	4.89 	5.25 	5.24 	6.28 
ICCS0101,P_HTHAB,EL	0.79 	0.96 	1.28 	1.49 	1.65 	1.58 	1.29 	1.24 
ICCS0101,P_HTHAB,ES	0.65 	0.69 	0.65 	0.78 	0.82 	0.86 	0.89 	0.89 
ICCS0101,P_HTHAB,FI	1.61 	1.63 	1.66 	1.63 	2.05 	2.22 	2.25 	2.51 
ICCS0101,P_HTHAB,FR	1.53 	1.20 	1.18 	1.20 	1.32 	1.23 	1.27 	1.60 
ICCS0101,P_HTHAB,HR	0.88 	0.85 	1.08 	1.19 	1.14 	1.44 	1.14 	1.65 
ICCS0101,P_HTHAB,HU	1.00 	1.31 	1.39 	1.14 	1.42 	1.33 	1.39 	1.46 
ICCS0101,P_HTHAB,IE	1.32 	1.74 	1.81 	1.72 	1.44 	1.96 	1.95 	2.00 
ICCS0101,P_HTHAB,IS	0.91 	0.31 	0.31 	0.31 	0.94 	0.63 	0.31 	0.00 
ICCS0101,P_HTHAB,IT	0.77 	0.78 	0.84 	0.89 	0.93 	0.89 	1.00 	1.05 
ICCS0101,P_HTHAB,LI	0.00 	2.69 	0.00 	0.00 	0.00 	2.79 	0.00 	2.83 
ICCS0101,P_HTHAB,LT	5.75 	5.27 	5.79 	6.03 	6.19 	6.33 	7.54 	8.90 
ICCS0101,P_HTHAB,LU	0.89 	0.73 	0.19 	0.57 	0.78 	1.59 	1.01 	1.45 
ICCS0101,P_HTHAB,LV	4.08 	3.85 	3.41 	4.74 	3.33 	3.30 	4.99 	4.52 
ICCS0101,P_HTHAB,ME	2.73 	3.06 	1.45 	2.42 	3.07 	2.10 	1.62 	3.57 
ICCS0101,P_HTHAB,MK	: 	1.21 	0.97 	1.36 	1.31 	1.90 	1.71 	1.71 
ICCS0101,P_HTHAB,MT	0.93 	1.41 	1.42 	2.39 	0.72 	0.97 	0.97 	1.47 
ICCS0101,P_HTHAB,NL	: 	: 	0.74 	0.87 	0.86 	0.87 	0.93 	0.91 
ICCS0101,P_HTHAB,NO	: 	0.57 	0.91 	0.54 	2.26 	0.60 	0.60 	0.72 
ICCS0101,P_HTHAB,PL	0.75 	0.74 	0.78 	0.99 	1.18 	1.15 	1.29 	1.21 
ICCS0101,P_HTHAB,PT	0.96 	0.88 	1.37 	1.16 	1.08 	1.17 	1.23 	1.17 
ICCS0101,P_HTHAB,RO	1.46 	1.49 	1.68 	1.88 	1.56 	1.88 	1.94 	2.28 
ICCS0101,P_HTHAB,RS	1.28 	1.58 	1.82 	1.44 	1.57 	1.56 	1.85 	1.74 
ICCS0101,P_HTHAB,SE	1.15 	0.90 	0.91 	0.72 	0.86 	0.97 	1.00 	0.89 
ICCS0101,P_HTHAB,SI	0.97 	0.82 	0.58 	0.68 	0.83 	0.54 	0.64 	0.55 
ICCS0101,P_HTHAB,SK	0.89 	1.33 	1.44 	1.39 	1.78 	1.65 	1.56 	1.75 
ICCS0101,P_HTHAB,TR	: 	: 	: 	2.42 	2.29 	2.43 	2.92 	: 
ICCS0101,P_HTHAB,UKC-L	: 	0.91 	0.92 	0.97 	0.94 	1.14 	1.08 	1.17 
ICCS0101,P_HTHAB,UKM	: 	1.11 	1.15 	1.19 	1.76 	1.91 	1.61 	1.83 
ICCS0101,P_HTHAB,UKN	1.25 	0.93 	1.09 	1.15 	1.27 	1.28 	1.62 	1.36 
ICCS0101,P_HTHAB,XK	: 	: 	: 	: 	3.46 	4.80 	3.35 	5.25 
ICCS0102,NR,AL	138 	181 	206 	220 	214 	211 	231 	242 
ICCS0102,NR,AT	96 	69 	105 	109 	105 	112 	102 	58 
ICCS0102,NR,BA	54 	70 	59 	47 	50 	67 	: 	92 
ICCS0102,NR,BE	865 	844 	808 	836 	857 	762 	745 	681 
ICCS0102,NR,BG	33 	46 	67 	45 	61 	62 	66 	60 
ICCS0102,NR,CH	141 	132 	152 	184 	184 	187 	185 	111 
ICCS0102,NR,CY	11 	10 	8 	12 	13 	11 	19 	13 
ICCS0102,NR,CZ	71 	79 	91 	93 	90 	68 	76 	89 
ICCS0102,NR,DE	1551 	1625 	1591 	1588 	1560 	1617 	1649 	1610 
ICCS0102,NR,DK	141 	148 	165 	142 	148 	152 	: 	: 
ICCS0102,NR,EE	8 	14 	10 	17 	35 	14 	25 	20 
ICCS0102,NR,EL	169 	155 	177 	185 	182 	193 	187 	165 
ICCS0102,NR,ES	715 	725 	662 	761 	817 	765 	831 	887 
ICCS0102,NR,FI	299 	327 	264 	349 	308 	307 	366 	363 
