ecase,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
A1_100,AT	31.87 	35.04 	34.68 	34.38 	33.94 	33.38 	32.74 	32.63 	34.01 	33.60 	33.19 	32.80 	33.02 	32.00 	31.60 	31.39 	30.96 	28.83 	28.56 	28.27 	27.26 	: 
A1_100,BE	40.75 	42.01 	42.36 	42.40 	42.71 	42.20 	42.07 	41.95 	42.49 	42.07 	41.92 	41.99 	41.91 	41.99 	42.66 	42.96 	43.01 	41.89 	41.76 	41.51 	41.30 	: 
A1_100,BG	: 	21.61 	21.61 	21.61 	21.61 	21.61 	20.89 	21.70 	21.70 	21.05 	20.23 	21.45 	19.11 	8.83 	20.20 	19.97 	22.29 	17.84 	19.61 	17.70 	19.44 	: 
A1_100,CH	16.88 	16.92 	16.99 	17.28 	17.07 	16.14 	16.01 	16.00 	15.85 	16.37 	16.13 	16.15 	16.11 	16.20 	16.53 	16.50 	16.46 	21.73 	21.93 	21.88 	22.37 	: 
A1_100,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.52 	8.74 	8.17 	6.30 	6.30 	7.04 	11.21 	11.03 	13.13 	12.59 	12.37 	12.43 	: 
A1_100,CZ	23.57 	23.32 	23.10 	22.87 	22.90 	22.96 	22.49 	22.29 	23.64 	22.89 	22.41 	24.03 	23.75 	23.34 	23.02 	22.49 	22.49 	22.71 	22.83 	22.91 	22.48 	: 
A1_100,DE	39.66 	39.60 	39.47 	39.43 	39.77 	39.91 	39.21 	41.32 	41.99 	42.23 	42.51 	42.21 	42.28 	43.37 	42.66 	42.03 	43.20 	41.93 	42.12 	42.28 	41.27 	: 
A1_100,DK	35.96 	35.89 	35.63 	35.78 	38.55 	38.40 	38.29 	39.53 	40.90 	41.12 	40.99 	40.92 	41.03 	42.36 	42.41 	43.35 	44.18 	44.21 	43.43 	44.95 	44.80 	: 
A1_100,EA17	: 	32.10 	32.09 	31.99 	32.00 	31.90 	31.52 	31.19 	31.25 	31.28 	31.50 	31.29 	31.41 	31.63 	31.80 	31.62 	32.36 	31.62 	31.38 	31.89 	31.37 	: 
A1_100,EA18	: 	32.08 	32.07 	31.98 	31.98 	31.89 	31.51 	31.18 	31.23 	31.25 	31.48 	31.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
