unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	4348.47 	3963.38 	3952.28 	3933.66 	3913.41 	3399.41 	3377.73 	3345.25 	3439.54 	3696.59 	3560.05 	3381.43 	3342.80 	3244.31 	3128.20 	2441.47 	2482.65 	2579.32 	2687.71 	2468.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,AT	: 	1630.75 	1622.95 	1606.25 	1605.41 	1597.50 	1590.18 	1625.59 	1620.39 	1550.97 	1651.42 	1674.71 	1700.01 	1755.60 	1771.58 	1755.96 	1697.73 	1883.21 	1761.27 	1677.13 	1589.26 	1452.01 	1356.60 	1294.31 	1257.13 	1177.84 	1151.62 	1126.82 	1089.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BE	: 	575.36 	575.33 	575.04 	573.80 	571.92 	565.91 	560.16 	556.77 	555.21 	547.69 b	399.93 	403.29 	403.96 	402.49 	396.49 	385.86 	385.93 	385.56 	385.97 	388.27 	512.35 	501.29 	485.37 	482.43 	501.40 	524.46 	479.62 	471.06 	465.36 	465.40 	450.77 	: 	: 	: 	: 	407.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	363.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,BG	: 	1456.28 	1497.81 	1516.09 	1566.11 	1592.62 	1527.53 	1464.59 	1488.94 	1490.81 	1494.96 	1475.67 b	1549.72 	1557.86 	1528.15 	1429.39 	1564.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH	: 	1088.36 	1101.96 	1070.73 	1077.45 	1077.54 	1034.49 	1017.32 	996.44 	981.43 	990.20 	945.36 	938.96 	931.23 	907.31 	886.88 	836.55 	832.54 	836.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CY	: 	4557.33 	4583.35 	4634.08 	4363.36 	4675.17 	4388.60 	3922.37 	3849.86 	3805.71 	3750.24 	3266.36 	3230.44 	3115.31 	2670.44 	2637.38 	1977.27 	1826.28 	1805.95 	1644.03 	1148.13 	1043.05 	1024.31 	940.07 	869.35 	798.80 	690.35 	675.80 	667.03 	660.00 	652.86 	643.11 	614.19 	606.28 	604.77 	597.66 	554.52 	560.75 	556.40 	551.88 	591.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ	: 	1033.22 	1034.74 	1031.11 	1014.85 	991.88 	981.74 	966.56 	953.21 	935.56 	918.36 	906.07 	892.07 	888.06 	880.41 	875.44 	884.86 b	886.16 	882.73 	876.35 	877.74 	874.15 	: 	: 	: 	: 	712.15 	: 	: 	: 	: 	676.96 	: 	: 	: 	: 	676.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DE	: 	785.51 	786.88 	799.16 	813.83 	828.59 	848.08 	871.47 	887.32 	908.28 	921.93 	934.14 	936.45 	938.26 	945.83 	930.57 	930.57 	928.46 	923.81 	917.21 	900.66 	870.37 	861.32 	851.57 	786.95 	724.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DK	: 	: 	: 	1859.25 	: 	1877.51 b	1753.38 	1730.84 	1710.34 	1629.79 	1588.92 	1530.48 	1481.91 	1402.70 	1355.85 	1329.39 	1320.38 	1267.70 	1269.86 	1254.15 	1250.43 	1244.86 	1222.39 	1220.28 	1192.11 	1089.24 	1047.89 	986.66 	909.65 	870.02 b	585.67 	573.61 	560.67 	543.78 	585.29 	571.29 	547.80 	535.96 	529.05 	505.30 	477.65 	475.19 	472.72 	465.33 	459.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EE	: 	1801.93 	1801.84 	1798.09 	1857.72 	1868.80 	1882.25 	1858.91 	1801.98 	1808.18 	1808.27 	1861.82 	1981.34 	1769.36 	1540.41 	1462.06 	1264.56 	1219.55 	1122.39 	1028.31 	1001.84 	940.82 	922.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
