s_adj,nace_r2,sizeclas,indic_em,geo\time	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 
NSA,A,GE10,CH_Q_Q,BG	0.0 p	0.2 p	-0.3 p	-0.1 p	0.7 p	0.1 p	-0.4 p	-0.2 p	0.4 p	0.1 p	-0.6 p	0.4 p	0.2 	0.0 	-0.6 	0.4 	0.2 	0.0 	-0.4 	-0.2 	0.6 	0.1 	-0.9 	0.9 	0.0 	-0.1 	-0.3 	-2.2 	2.5 	0.0 	-0.3 	0.2 	0.2 	0.1 	-0.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,CZ	0.8 	-0.2 	0.4 	2.1 	0.3 	-0.2 	0.1 	0.7 	0.0 	-0.4 	0.4 	0.7 	0.2 	-0.5 	-0.3 	1.3 	0.2 	-0.3 	-0.1 	0.3 	-0.3 	-0.3 	0.1 	0.4 	0.2 	0.0 	-0.2 	0.1 	0.0 	0.0 	-0.4 	0.1 	-0.3 	-0.3 	-0.5 	-0.6 	-0.2 	-0.5 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,DE	-1.5 	0.7 	-0.4 	0.2 	2.2 	-1.4 	-0.3 	0.5 	0.7 	-0.1 	-0.2 	0.4 	0.0 	-0.7 	0.3 	0.1 	1.0 	-0.3 	-1.4 	0.8 	-0.3 	-0.6 	1.4 	0.1 	-1.9 	1.4 	0.1 	-0.2 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,EE	0.7 	-0.5 	-0.2 	0.5 	0.4 	0.2 	0.2 	-0.1 	-0.3 	0.1 	-0.4 	0.5 	0.0 	0.1 	-0.2 	0.0 	0.0 	0.3 	-0.4 	0.1 	-0.3 	0.5 	-0.3 	0.2 	0.1 	-0.1 	0.0 	-0.2 	-0.2 	0.3 	0.0 	0.0 	-0.2 	0.4 	-0.3 	-0.9 	-0.4 	0.0 	-0.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,FI	-0.4 	-1.9 	2.3 	0.3 	-1.5 	1.5 	-1.3 	0.7 	0.1 	0.3 	0.2 	0.0 	0.0 	-0.3 	0.1 	-0.6 	-1.4 	1.7 	-2.0 	1.7 b	-2.5 	2.2 	-6.8 	7.9 	-0.6 	-3.1 	-1.3 	3.9 	-1.0 	-0.4 	0.3 	2.0 	-0.8 	-0.4 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,HR	-1.1 b	-0.4 b	0.5 b	1.4 b	-0.9 b	-0.9 b	0.9 b	1.5 b	-0.2 	-1.1 	0.8 	0.6 	-0.1 	-0.3 	0.3 	0.0 	0.0 	-0.1 	0.1 	0.2 	0.0 	-0.6 	0.1 	0.4 	-1.1 	0.5 	0.4 	0.1 	-0.1 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,HU	0.0 p	0.1 p	0.1 p	-0.1 p	0.1 	0.2 	0.0 	0.2 	0.1 	0.0 	-0.1 	-0.5 	0.1 	0.0 	-0.3 	0.6 	0.1 	0.0 	-0.1 	-0.9 	1.2 	-0.1 	-0.2 	0.3 	0.1 	0.0 	-0.5 	0.3 	0.1 	-0.1 	-0.1 	0.3 	0.0 	-0.1 	-0.4 	0.2 	0.0 	-0.3 	-0.3 	0.7 	0.1 	0.0 	-1.0 	0.9 	-0.1 	0.0 	-0.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,LT	0.2 	0.0 	-0.4 	0.8 	-0.3 	0.0 	-0.4 	1.0 	0.0 	0.0 	-0.2 	0.2 	-0.1 	0.0 	-0.3 	0.4 	-0.3 	0.2 	-0.1 	0.2 	-0.1 	0.1 	-0.2 	0.2 	0.0 	0.0 	-0.4 	0.5 	-0.1 	0.1 	-0.1 	0.1 	0.0 	-0.1 	0.0 	-0.2 	-0.3 	-0.3 	-0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,LU	-2.0 	0.4 	0.8 	0.8 	-0.2 	0.0 	-0.2 	0.7 	-0.5 	0.0 	-0.7 	1.1 	-0.5 	0.0 	0.4 	0.5 	-0.2 	0.0 	-0.2 	0.1 	-0.2 	0.0 	0.1 	0.0 	0.0 	-0.5 	0.7 	-0.4 	0.2 	0.0 	0.2 	0.6 	-0.6 	-0.4 	0.4 	-0.2 	-0.4 	0.6 	-1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,LV	0.7 	-0.3 	0.2 	0.2 	-0.7 	0.9 	-0.1 	0.1 	-1.5 	1.4 	0.7 	-0.2 	0.0 	-0.2 	-0.2 	0.4 	-0.5 	0.3 	0.5 	0.0 	0.3 	-0.2 	0.0 	-0.1 	-0.8 	-0.3 	0.6 	0.7 	0.1 	0.1 	-0.2 	-0.3 	-0.1 	0.0 	0.3 	-0.4 	-0.2 	-0.2 	-0.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
